"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x34139521","x1104185950761041922",2019-03-09 01:03:40,"tweetypie54","Thomas we can’t wait for #heatwave I nose we be grumbling about da heat den but we tired of cold rain here 😀🐾 https://t.co/8a73zMKsXZ","Twitter for iPhone",109,,,,TRUE,FALSE,0,0,"heatwave",,"twitter.com/puppynumber7/s…","https://t.co/8a73zMKsXZ","https://twitter.com/puppynumber7/status/1104181151579566081",,,,,,,,,,,"en","x1104181151579566081","@LilyLuWhoT @snickersmommie @Pandafur @timhoyt14 @TiggyBean @tweetypie54 @clingycat @3phibotticelli @WinstonTabby @whskr @Elvis_cat @CinniMini2 @Bea_Bells @cherylpoestone @SquirtTheCat @fairhope71 @JinJinDoggy @RealFakeGator @SkittlesFriends @isagold @Hf_Fulvia @TattleCat @lucky_GSD @Meow_Girls @moothemousecat @ChrisGroove1 @3coolkatz @inquarters14 @MariaPulk @KlamathTheHorse @GeorgeTheDuck @cybercat919 @Frankencat1 @CatRulers @MizzBassie @GinaTheMinPin @BorisKitty @I_Am_Luka @Rocio__1 @flashjumpingjak @PeanutBrittle13 @Chrissy7115 @lampwireslayer @ChazzTheDog1 @JustAnotherTrnd @sanjeethecat @danapixie @kconlon1 @HarveyButtonNZ Our weather heated up again too .. we supposed to be in autumn but yesterday was 33C/91F with 68% humidity *grumbles* Nan well sick of this weather.",2019-03-09 00:44:35,"TweetDeck",1,1,"x191762668","PuppyNumber7","Sir Thomas Archer",7775,6109,167710,"Queensland & England","Loyal, faithful & dependable. Best friend. Married to an angel @AngelKeely #Tripawd #CancerFighter #OTRB 21/02/07-15/02/19",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tweetypie54/status/1104185950761041922","sheila odom","conway ar","love horses. & horseracing , all animals, big Anna Rose Naprovnick Fan!!! #Arsenal!fanI’m a lab,live @OTRB now but hav bros lab &1 Doxie Odie,and 6 kitties 🐱",,FALSE,4847,4645,190,114197,49727,2009-04-22 02:01:57,FALSE,,,"en","https://pbs.twimg.com/profile_banners/34139521/1357920251","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1082493813413855232/msBm44ww_normal.jpg"
"x2571471814","x1104183171208368129",2019-03-09 00:52:37,"hernica23","@mathbernier And a high five from every nurse who won’t have to explain anymore why the bleeding trauma or the cardiac arrest has to see the doctor before the runny nose and sore throat 🤷🏽‍♀️","Twitter for iPhone",178,"x1104168013367005184","x404420132","mathbernier",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x404420132","mathbernier","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hernica23/status/1104183171208368129","Nikky Carter","Montréal, Québec","Hemato-oncology and bone marrow transplant assistant head-nurse! Montrealer to the bones! Montreal Canadiens fan for life! #GoHabsGo Tweeting in frenglish!",,FALSE,69,481,0,633,2742,2014-05-30 01:49:28,FALSE,,,"fr","https://pbs.twimg.com/profile_banners/2571471814/1539532841","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/837825293985452032/xYVlxUr-_normal.jpg"
"x4777384850","x1104182431387594752",2019-03-09 00:49:41,"JanVanHorne","@bethduffy95 @BestCloserShow A relative, Sheriff’s Deputy, contracted a flu virus that can’t be identified. He’s now in ICU on a ventilator w/pneumonia &amp; sepsis. Where the hell did this come from? From people crossing unlawfully over our border???","Twitter for iPhone",222,"x1104155194345033729","x260800920","bethduffy95",FALSE,FALSE,2,1,,,,,,,,,,,,,,"x260800920 x1092161088077086721","bethduffy95 BestCloserShow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JanVanHorne/status/1104182431387594752","Janice","SO CA, USA","Adore my POTUS🇺🇸, SO CA Deplorable, cancer survivor,proud Widow, Mom, Mother-in-Law, Grandmom of LEO heroes❣️👮👮‍♀️Retired Aerospace Analyst, love my doggies",,FALSE,469,39,3,20560,23960,2016-01-18 07:46:56,FALSE,,,"en",,,"http://pbs.twimg.com/profile_images/1010225241488949249/wi08MGGK_normal.jpg"
"x229701899","x1104181225420480514",2019-03-09 00:44:53,"_foudroyant","Yo fuck this dry/cold to humid/hot weather I woke up to a bloody nose this morning","Twitter for iPhone",82,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_foudroyant/status/1104181225420480514","Ronnie","New Orleans, LA","I just wanna do what I wanna do when I wanna do it IG: _sidhee",,FALSE,275,176,1,5666,5574,2010-12-23 03:15:01,FALSE,,,"en","https://pbs.twimg.com/profile_banners/229701899/1552081395","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1103789107417882625/Ffyt5Qzh_normal.jpg"
"x1173220656","x1104180525793714176",2019-03-09 00:42:06,"AmyVenti","@WhoopiGoldberg my prayers are with you for complete healing and recovery! Moms going thru it now and had emergency surgery tonight for perforated colon! Two weeks in the hospital with double pneumonia and flu and now this!","Twitter for iPhone",223,,"x284602545","WhoopiGoldberg",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x284602545","WhoopiGoldberg","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AmyVenti/status/1104180525793714176","Chihuahuas 4 Trump","Metro St. Louis","Wife & Chihuahua mommy! I love God, my family and my dogs! My dogs and I love Trump!
Pizzagate is REAL!!",,FALSE,202,357,11,2357,1420,2013-02-12 22:19:57,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1173220656/1456855878","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/706909702647447552/UPiDIKwK_normal.jpg"
"x1173220656","x1104179478341791744",2019-03-09 00:37:56,"AmyVenti","@persisting2017 @WhoopiGoldberg @DavidTennantPod My moms been in the hospital 2 weeks with flu turned into pneumonia and tonight was rushed into ER surgery for a perforated colon that popped up today! Prayers with you all and my mom!","Twitter for iPhone",184,"x1104179055908216832","x817918474320166912","persisting2017",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x817918474320166912 x284602545 x1082674045567623168","persisting2017 WhoopiGoldberg DavidTennantPod","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AmyVenti/status/1104179478341791744","Chihuahuas 4 Trump","Metro St. Louis","Wife & Chihuahua mommy! I love God, my family and my dogs! My dogs and I love Trump!
Pizzagate is REAL!!",,FALSE,202,357,11,2357,1420,2013-02-12 22:19:57,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1173220656/1456855878","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/706909702647447552/UPiDIKwK_normal.jpg"
"x26904426","x1104180072859213830",2019-03-09 00:40:18,"MizZ_PeNNz","The struggle of having a cold is having a random runny nose like you’re a damn child 😭😭😭","Twitter for iPhone",88,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MizZ_PeNNz/status/1104180072859213830","TheRealTopDiva","Philadelphia, PA","A South African playing in American soil 🇿🇦 🇺🇸","https://t.co/5WYV42Jpak",FALSE,143,255,7,5455,12,2009-03-27 00:44:35,FALSE,"https://t.co/5WYV42Jpak","http://www.facebook.com/mizzpennz","en",,"http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1095651273284689920/RE92F3qs_normal.jpg"
"x207481134","x1104178263491072000",2019-03-09 00:33:07,"believepinkkk","Like why the fuck do they have to shove that oversized cotton swap up your nose that far just to test for the flu. Sincerely, a very teary eyed person.","Twitter for iPhone",151,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/believepinkkk/status/1104178263491072000","s h a n i a.","Under the Sea ","Future Marine Biologist🦈 OU Southern📚sc:believeshania✨insta:shanialmeadows 💁🏼‍♀️ Dog Mom🐶 ♏️🌈 JCJ❤️","https://t.co/PIrbx4FhDH",FALSE,1401,1391,4,23052,1644,2010-10-25 12:14:40,FALSE,"https://t.co/PIrbx4FhDH","http://Instagram.com/believeshania","en","https://pbs.twimg.com/profile_banners/207481134/1544737510","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1073333024102760448/djppZAVE_normal.jpg"
"x21186398","x1104176417791795205",2019-03-09 00:25:47,"ktb38","Finally feeling halfway normal today. I had a super nasty bug/cold. My poor nose is all red and dry and gross","Twitter for Android",109,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ktb38/status/1104176417791795205","KatieBea","Lancaster, PA","BeaBopper Designs  
I like to make things with strings.","https://t.co/rk2j2wpifv",FALSE,287,399,22,16291,929,2009-02-18 11:04:23,FALSE,"https://t.co/rk2j2wpifv","https://www.ravelry.com/designers/katiebea-mazza","en","https://pbs.twimg.com/profile_banners/21186398/1359011436","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1070223287127552000/M0GSo_oS_normal.jpg"
"x359083712","x1104174541985718279",2019-03-09 00:18:20,"samjofedorchik","I have the fucking flu AND pneumonia. What the actual fuck is wrong with me?","Twitter for iPhone",76,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/samjofedorchik/status/1104174541985718279","Sammy Jo.🦂🌊🌸","Celoron, NY","My cats are my world. Wanderlust is my heart and dark humor is my soul. ❤8.12.18❤",,FALSE,89,93,0,2400,566,2011-08-21 00:35:16,FALSE,,,"en","https://pbs.twimg.com/profile_banners/359083712/1550414950","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1103814230451675136/twW1wEz-_normal.jpg"
"x10955942","x1104173216497631232",2019-03-09 00:13:04,"FollowMal","Went out and did chores. My old horses are weathering the cold switching to warm and back again well. They were munching away when I left, clean stalls, carrots and a quick pat and kiss on the nose. Which makes my mare be shy.","Twitter Web Client",226,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FollowMal/status/1104173216497631232","Diane ☘","Midwest, USA","Literacy advocate, Mom and Grandma, lover of life. Tweets my own opinions.","https://t.co/gv4YM5liWK",FALSE,2801,4999,100,61855,98326,2007-12-08 00:38:52,FALSE,"https://t.co/gv4YM5liWK","http://www.kidsneedtoread.org","en","https://pbs.twimg.com/profile_banners/10955942/1551506338","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1097272996656492545/_Jc0Q9Zs_normal.png"
"x48161776","x1104171472350822400",2019-03-09 00:06:08,"Amen_FaSHAN","@Fergu_SonofAGun They jerk spicy? Like crying and runny nose spicy?","Twitter for Android",50,"x1104171272664244225","x352804379","Fergu_SonofAGun",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x352804379","Fergu_SonofAGun","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Amen_FaSHAN/status/1104171472350822400","Shanice✞Kapeesh","Philadelphia, USA","Kutztown University ΣΛΓ ⚓ #SP16","https://t.co/dC8VJyOLyJ",FALSE,919,859,7,35357,1268,2009-06-17 23:30:34,FALSE,"https://t.co/dC8VJyOLyJ","http://shottishakarock.tumblr.com/","en","https://pbs.twimg.com/profile_banners/48161776/1480815398","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1009176046258806784/pS0vuEUH_normal.jpg"
"x19848381","x1104169861222227968",2019-03-08 23:59:44,"Erik__Burns","@KaraRBrown This tour is so good. At the show I attended, she fought a cold, watery eyes, and a runny nose, and still she nailed every note","Twitter for iPhone",127,"x1104155018268041216","x266697434","KaraRBrown",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x266697434","KaraRBrown","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Erik__Burns/status/1104169861222227968","Erik Burns","Springfield, MO ","Small town dude, big city attitude.",,FALSE,1027,2307,7,15299,14690,2009-02-01 05:45:27,FALSE,,,"en","https://pbs.twimg.com/profile_banners/19848381/1548519341","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/949678029709733888/BfV5fMsJ_normal.jpg"
"x65487788","x1104169472183685120",2019-03-08 23:58:11,"sonjamsparks","So I had the flu and then moved straight into a nose/throat/ear infection. 

My life for five days has been tissues, copious amounts of medicine, vapor rub and crying.","Twitter for iPhone",167,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sonjamsparks/status/1104169472183685120","sonja sparks","oklahoma","detroit sports, german footy, ballet & yoga enthusiast, fighter for women’s rights around the globe 💕",,FALSE,257,593,16,29258,3069,2009-08-13 22:32:57,FALSE,,,"en","https://pbs.twimg.com/profile_banners/65487788/1476394554","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1077734044555714561/zB6ucwHC_normal.jpg"
"x1092208763338145792","x1104168945756581889",2019-03-08 23:56:05,"kweenjas1k","I drip every day like a runny nose 💧

#photography #RVA #model https://t.co/OeaL5TImAK","Twitter for iPhone",62,,,,FALSE,FALSE,5,3,"photography RVA model",,,,,"http://pbs.twimg.com/media/D1LLzLZXcAE0m7-.jpg","https://t.co/OeaL5TImAK","https://twitter.com/kweenjas1k/status/1104168945756581889/photo/1","photo","http://pbs.twimg.com/media/D1LLzLZXcAE0m7-.jpg http://pbs.twimg.com/media/D1LLzLVWkAAWJl-.jpg","https://t.co/OeaL5TImAK https://t.co/OeaL5TImAK","https://twitter.com/kweenjas1k/status/1104168945756581889/photo/1 https://twitter.com/kweenjas1k/status/1104168945756581889/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/00f751614d8ce37b.json","Richmond","Richmond, VA","city","United States","US","NA NA","NA NA","-77.601044 -77.385297 -77.385297 -77.601044 37.447046 37.447046 37.61272 37.61272","https://twitter.com/kweenjas1k/status/1104168945756581889","Jas💉","Virginia, USA","Your Favorite | Youtuber🎬","https://t.co/9Kaq2fR2U5",FALSE,237,482,0,773,1036,2019-02-03 23:50:36,FALSE,"https://t.co/9Kaq2fR2U5","https://www.youtube.com/channel/UCuH7erc4YdT203LxKyLlTxg","en","https://pbs.twimg.com/profile_banners/1092208763338145792/1550717251",,"http://pbs.twimg.com/profile_images/1098412640236421120/j3UM20ga_normal.jpg"
